Mon Apr 14 17:13:50 2025

Number of Points = 16359
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-388.141010	-297.463650	2.312218	1.584441	0.071686
-389.360230	-221.955361	2.317222	1.584593	0.071745
-390.189194	-277.920337	2.322227	1.584705	0.071701
-391.291982	-255.781555	2.327232	1.584846	0.071718
-391.837458	-202.950890	2.332237	1.584913	0.071759
-393.081918	-52.836217	2.337242	1.585063	0.071876
-394.405316	-244.844102	2.342246	1.585248	0.071726
-395.207924	-122.223567	2.347251	1.585344	0.071821
-396.014738	-7.321610	2.352256	1.585440	0.071910
-397.200805	-193.963385	2.357261	1.585607	0.071764
-398.209437	-28.516564	2.362266	1.585726	0.071893
-399.000869	-207.405398	2.367270	1.585841	0.071754
-400.207599	-246.471529	2.372275	1.586001	0.071723
-400.947693	-48.391819	2.377280	1.586083	0.071877
-402.113849	-156.757358	2.382285	1.586241	0.071792
-403.084360	-258.229745	2.387290	1.586374	0.071713
-404.162278	-258.866782	2.392294	1.586514	0.071712
-405.489296	15.468961	2.397299	1.586666	0.071926
-405.966631	-147.632379	2.402304	1.586740	0.071798
-406.810347	-121.368424	2.407309	1.586848	0.071819
-408.077983	-310.835070	2.412314	1.587025	0.071671
-409.119999	-82.155084	2.417318	1.587144	0.071849
-410.336078	-211.463429	2.422323	1.587311	0.071747
-410.996217	-64.069806	2.427328	1.587386	0.071862
-411.817020	-316.600752	2.432333	1.587510	0.071665
-412.822583	-154.084011	2.437338	1.587629	0.071792
-413.616299	-159.219701	2.442342	1.587732	0.071787
-414.749302	-344.914003	2.447347	1.587892	0.071642
-415.961949	-269.320385	2.452352	1.588044	0.071701
-417.037744	-216.232902	2.457357	1.588180	0.071742
-417.685767	-222.542959	2.462362	1.588264	0.071737
-419.041908	-131.966890	2.467366	1.588434	0.071807
-420.224230	-331.009057	2.472371	1.588601	0.071652
-420.928469	-235.037046	2.477376	1.588686	0.071726
-422.216278	-211.447913	2.482381	1.588851	0.071744
-423.070753	-72.911923	2.487386	1.588952	0.071852
-423.864239	-130.909793	2.492390	1.589059	0.071807
-424.800058	-149.744177	2.497395	1.589182	0.071792
-426.063716	-251.169509	2.502400	1.589353	0.071712
-427.171289	-175.090990	2.507405	1.589491	0.071771
-428.398258	-220.125368	2.512410	1.589653	0.071736
-429.079571	-358.931929	2.517414	1.589751	0.071628
-429.847319	-149.488454	2.522419	1.589836	0.071791
-431.090317	-68.634722	2.527424	1.589991	0.071853
-432.328824	-173.785155	2.532429	1.590159	0.071771
-433.132522	-81.189337	2.537434	1.590257	0.071843
-434.571552	-260.876714	2.542438	1.590456	0.071703
-435.551845	-345.640220	2.547443	1.590589	0.071636
